1,17.55,16.6,1.05723
2,15.9,18.94,0.839493
3,16.47,18.45,0.892682
4,15.86,19.56,0.810839
5,16.01,20.19,0.792967
6,15.94,20.29,0.785609
7,16.79,19.79,0.848409
8,15.93,20.88,0.762931
9,15.81,21.62,0.731268
10,16.99,20.95,0.810979
11,16.51,20.76,0.79528
12,16.71,20.67,0.808419
13,16.4,21.19,0.77395
14,16.77,21.01,0.798191
15,15.85,21.94,0.722425
16,16.71,21.07,0.79307
17,16.49,21.62,0.76272
18,16.36,21.73,0.752875
19,16.05,22.33,0.718763
20,17.25,21.31,0.809479
21,16.02,22.57,0.709791
22,16.04,22.76,0.704744
23,16.09,22.72,0.708186
24,15.81,23.03,0.686495
25,16.08,23.12,0.695501
26,16.46,22.73,0.724154
27,15.83,23.52,0.673045
28,15.9,23.74,0.669755
29,16.34,23.18,0.704918
30,15.64,24.33,0.642828
31,16.55,23.59,0.70157
32,16.29,23.67,0.688212
